Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA
0.1,0.15,13,87.5944281637172,94.18531526753961,100.0
0.1,0.15,17,98.02499771077568,93.43303319470407,100.0
0.1,0.15,18,86.66450605541814,87.39590596382226,100.0
0.1,0.15,16,90.23644130055573,84.17631273253168,100.0
0.25,0.15,2,87.62834149370894,82.83570041892426,100.0
0.25,0.15,1,97.71507261691319,94.75611914734301,100.0
0.1,0.15,19,87.39862909233977,92.71015325314501,100.0
0.25,0.15,5,87.26497183866273,91.12462026007938,100.0
0.25,0.15,3,93.7862867613408,93.7073790225922,100.0
0.25,0.15,4,88.56781054218271,91.27132922227294,100.0
0.25,0.15,6,87.74440214786017,83.07988233649101,100.0
0.25,0.15,7,88.71225538925246,95.64597039476955,100.0
0.25,0.15,11,96.33246702804313,94.73236209721826,100.0
0.25,0.15,9,97.35305845099937,94.63290629394601,100.0
0.25,0.15,8,99.05954121907736,92.3508498432074,100.0
0.25,0.15,14,97.54494970450229,92.22397539405576,100.0
0.25,0.15,10,95.28290905590863,93.96740171710466,100.0
0.25,0.15,12,94.1030045678757,77.03656558936616,100.0
0.25,0.15,13,87.56673233663217,94.83269996654377,100.0
0.25,0.15,15,97.86673202441062,92.02747511359105,100.0
0.25,0.15,16,90.85033964171791,92.42195503321045,100.0
0.25,0.15,17,97.7667251738662,93.43378904314112,100.0
0.25,0.15,18,86.93730484516752,89.39759640551394,100.0
0.25,0.15,19,87.61876551196298,92.6154386894378,100.0
0.5,0.15,1,97.37892963337107,95.85108458637671,100.0
0.5,0.15,2,87.95324675659468,84.0483170451264,100.0
0.5,0.15,5,88.73238686365063,90.03632577573642,100.0
0.5,0.15,3,94.20370689222189,95.02133002277728,100.0
0.5,0.15,4,88.23510416585344,91.27132922227294,100.0
0.5,0.15,6,87.85954487340089,85.13606739739325,100.0
0.5,0.15,7,88.53603717257039,94.87113485981894,100.0
0.5,0.15,9,97.21220471105273,95.55177985696798,100.0
0.5,0.15,8,99.19501314743742,93.94805528989932,100.0
0.5,0.15,11,96.47430077389173,94.86747755094159,100.0
0.5,0.15,10,95.47081749720981,95.22705784067915,100.0
0.5,0.15,14,97.09118345966068,93.84767326893606,100.0
0.5,0.15,12,94.94520340951533,86.37278350868586,100.0
0.5,0.15,15,97.03827034883899,91.99310375688657,100.0
0.5,0.15,13,87.65243385541469,92.60082586437032,100.0
0.5,0.15,18,87.06274544200667,90.41531348059257,100.0
0.5,0.15,17,97.35733929099095,93.14628803792527,100.0
0.5,0.15,16,90.161723771975,86.5534634682538,100.0
0.75,0.15,2,88.4940148359457,85.26093320333264,100.0
0.5,0.15,19,88.57329272171755,91.33096325793466,100.0
0.75,0.15,3,94.4030802064875,96.33528082012045,100.0
0.75,0.15,4,86.43038956952253,89.78833347269473,100.0
0.75,0.15,1,96.91349159951199,96.94604985637453,100.0
0.75,0.15,5,89.2961304810136,87.91943091195051,100.0
0.75,0.15,9,97.11929562975929,96.21025678945611,100.0
0.75,0.15,8,98.69034135907289,95.54526049002176,100.0
0.75,0.15,10,95.86331247858877,96.48671376979357,100.0
0.75,0.15,6,87.67559052611973,87.48938022005557,100.0
0.75,0.15,7,88.42965424535126,94.42762167737035,100.0
0.75,0.15,11,96.69136232567568,96.22203248130955,100.0
0.75,0.15,14,96.49374573079854,95.47137089315709,100.0
0.75,0.15,12,95.94099007667886,95.65314982763317,100.0
0.75,0.15,15,97.17837426143483,94.10625199748388,100.0
0.75,0.15,13,86.91157313688957,90.75480223951169,100.0
0.75,0.15,19,89.7516988280262,91.26273237390767,100.0
0.75,0.15,18,86.55394157901995,84.61159064091768,100.0
0.0,0.3,2,87.83169864492874,85.50538195720586,100.0
0.75,0.15,17,96.77302055036093,94.80421631297453,100.0
0.0,0.3,3,93.59998538768527,92.39342847880143,100.0
0.0,0.3,1,98.09462379301405,93.83384157744433,100.0
0.75,0.15,16,89.015947335377,83.58957737135594,100.0
0.0,0.3,5,86.3066562535387,89.27136863766522,100.0
0.0,0.3,4,88.43312525386105,91.57452607996622,100.0
0.0,0.3,9,97.36037642475362,93.82199690590261,100.0
0.0,0.3,6,87.18687812978055,88.13580099292719,100.0
0.0,0.3,7,88.82475906869192,95.47349924902205,100.0
0.0,0.3,8,98.95335358769859,90.87602909029778,100.0
0.0,0.3,12,94.49554717631806,74.04232013377732,100.0
0.0,0.3,10,95.15849584870627,92.70774603106538,100.0
0.0,0.3,11,95.94743366713645,92.42028662429202,100.0
0.0,0.3,14,98.04243685867235,91.88261441075058,100.0
0.0,0.3,15,98.15574047795555,90.28935203059932,100.0
0.0,0.3,13,88.56420767957874,93.75372560700959,100.0
0.0,0.3,17,98.18622959425912,93.14628803792527,100.0
0.0,0.3,18,87.50375358234736,85.2829762097054,100.0
0.1,0.3,2,87.92894845436751,85.76552625500308,100.0
0.0,0.3,16,90.24491007296251,87.89213307599053,100.0
0.0,0.3,19,88.47654072654416,91.95407862825921,100.0
0.1,0.3,4,88.33990810952513,91.86908120990887,100.0
0.1,0.3,3,93.61899943490529,92.6593547262873,100.0
0.1,0.3,1,98.01841091104599,94.01800195475845,100.0
0.1,0.3,5,86.48964231053709,89.64644230533455,100.0
0.1,0.3,6,87.25474879930752,88.90033563034423,100.0
0.1,0.3,9,97.30744205100861,93.76772571396835,100.0
0.1,0.3,8,98.96538342836102,91.12497857005273,100.0
0.1,0.3,7,88.10009096691881,95.63174601704296,100.0
0.1,0.3,12,94.47110442632803,74.30444542404831,100.0
0.1,0.3,11,96.03071689116219,93.22455004462165,100.0
0.1,0.3,10,95.1764953420759,92.9626837159696,100.0
0.1,0.3,14,97.96666379917873,91.64911597413938,100.0
0.1,0.3,15,98.13920226547876,90.61455596162958,100.0
0.1,0.3,13,87.75276840642762,93.97209577620683,100.0
0.1,0.3,17,98.11702621789902,93.43303319470407,100.0
0.1,0.3,18,87.08139434398659,86.35204786689448,100.0
0.1,0.3,16,90.06365314696947,81.98744717890722,100.0
0.1,0.3,19,88.03853944959107,92.44284083866768,100.0
0.25,0.3,2,88.3843844178231,84.18867462426992,100.0
0.25,0.3,3,93.6824557170205,93.05824333685895,100.0
0.25,0.3,4,88.49471740316494,92.31091306227545,100.0
