Sigma,Alpha,Seed,Cost_Saving,Peak_Reduction,SLA,Smart_Breach_Count,Smart_Breach_Energy,Open_Breach_Count,Open_Breach_Energy,Smart_Peak,Open_Peak,Smart_Cost,Open_Cost,Smart_Energy,Open_Energy
0.1,0.01,6,10.699647997039072,64.48531574478118,96.07038192953243,12,5.945153397071088,10,41.658390295074966,7.750903800000001,21.82450432136678,10.551734526008058,11.81600552443309,97.18679737059699,59.29946364344911
0.1,0.01,7,16.00782650898558,79.73506490021347,95.30153238558209,11,3.5209012772572166,5,47.24735001769402,6.468866920000001,31.921478594166047,10.152212014244787,12.087092871017182,95.14380810769215,57.20570658101543
0.5,0.01,19,32.51532006783657,72.09201830148625,96.67500177430216,0,0.0,6,22.89384231271379,4.929412308882077,17.66309137698982,5.1914668783079625,7.692808032173376,42.702759761225856,33.25453606014231
0.75,0.01,5,22.359578535163422,50.5476633013474,95.94209548370233,1,0.3587145709930253,7,13.041492891399795,5.717429141986051,11.561494407890802,5.864991793254396,7.554044249889417,45.89780944617103,35.41746021993941
0.25,0.01,7,18.622357389445103,78.06488954029942,94.169018764966,11,5.048274060782736,5,47.24735001769402,7.0020115899999995,31.921478594166047,9.836191238582222,12.087092871017182,84.92862059535602,57.20570658101543
0.75,0.01,8,46.65616818538245,61.76922571735758,95.42462867264415,0,0.0,6,12.62598564897865,4.5455342299999995,11.889725791046214,5.193704153860793,9.736278735862367,40.72508884797443,32.13184171403433
0.75,0.01,9,34.01726944013092,66.68080331651878,94.90979494196247,4,0.658456846850358,6,20.277453636593368,5.554450801743634,16.670422322928886,4.151995792931867,6.292549213562139,48.14117161529918,27.85621088793636
0.75,0.01,11,51.25317504523982,70.65556363563243,96.54384341508239,1,0.10839801249705161,6,21.218829558107984,5.216796024994103,17.77780278420603,3.3011926719496296,6.772118337990881,40.66385714487383,24.35119029125366
0.5,0.01,10,35.14357284133761,35.61281109703016,95.52920505282927,4,6.179574739010679,10,29.854110048841942,12.03689083,18.694543177120757,7.153487523153386,11.029728026265392,65.65298145566722,43.64029142238135
0.75,0.01,12,51.2777269166847,47.412874391003626,96.9839989195904,2,0.630895783052488,8,11.699407851356531,5.695367866401263,10.830346402175145,4.613190785821257,9.468340645627679,50.501844200177345,28.672479462019957
0.5,0.01,13,32.56575049202044,60.30965531481214,94.13986752223863,2,0.9994915299999998,9,26.591024525083018,6.08321823,15.32669539216728,7.525947779939591,11.16042342704361,56.588222944412294,44.495005760276115
0.75,0.01,14,69.28169067271982,-0.19515653780801515,100.0,1,0.017156617717383416,1,0.012253790199479475,5.034313235434767,5.024507580398959,0.9623292719089545,3.132754676229311,22.502592797011875,7.429660091921379
0.5,0.01,16,43.59002024069495,48.06621936220888,93.65678957643004,2,0.46464810451587857,10,18.92450017883948,5.687532,10.95150772801875,5.893840169089292,10.448222449711267,48.09593558701151,37.42272405229936
0.75,0.01,15,55.93607281268687,58.65314191563389,98.21972384395038,0,0.0,5,11.468696502879357,4.633714726846749,11.206933105755935,1.8385013054142427,4.172350089448185,32.10597402704825,12.109678016523349
0.5,0.01,17,27.563294256396965,3.365768232105934,95.71703884878988,3,8.380965390000002,9,25.87487752158855,12.47520416,12.909715254904924,6.653722461646732,9.185567445872328,62.895161195190525,43.57338377332803
0.75,0.01,19,33.306668412826994,73.56520461070866,96.51142184341408,0,0.0,6,22.89384231271379,4.669202064930823,17.66309137698982,5.1305899692620685,7.692808032173376,44.19299328274698,33.25453606014231
